CustomerID,Churn_Probability
CUST-3898,0.15
CUST-5440,0.32
CUST-7930,0.41
CUST-10564,0.7
CUST-7235,0.96
CUST-2498,0.57
CUST-10648,0.21
CUST-8403,0.47
CUST-2855,0.83
CUST-4269,0.34
CUST-2908,0.06
CUST-8080,0.36
CUST-4516,0.31
CUST-1261,0.38
CUST-3160,0.84
CUST-10881,0.63
CUST-3912,0.83
CUST-5198,0.32
CUST-8846,0.39
CUST-10235,0.52
CUST-3790,0.56
CUST-9202,0.28
CUST-10442,0.12
CUST-7907,0.65
CUST-10470,0.32
CUST-8342,0.46
CUST-10282,0.74
CUST-3231,0.15
CUST-7932,0.42
CUST-7457,0.12
CUST-9783,0.09
CUST-5183,0.27
CUST-8076,0.46
CUST-6501,0.05
CUST-6790,0.59
CUST-7772,0.68
CUST-2737,0.96
CUST-7841,0.37
CUST-6261,0.68
CUST-8205,0.92
CUST-1247,0.15
CUST-9335,0.46
CUST-4194,0.15
CUST-8000,0.04
CUST-7377,0.17
CUST-3434,0.03
CUST-5381,0.38
CUST-10870,0.02
CUST-10378,0.02
CUST-5741,0.33
CUST-6727,0.06
CUST-4381,0.3
CUST-5196,0.52
CUST-1112,0.18
CUST-2688,0.08
CUST-6472,0.5
CUST-8819,0.18
CUST-7807,0.6
CUST-3410,0.02
CUST-10072,0.46
CUST-4613,0.16
CUST-1373,0.73
CUST-1509,0.05
CUST-6442,0.16
CUST-3070,0.4
CUST-3015,0.01
CUST-4822,0.68
CUST-7821,0.18
CUST-10083,0.21
CUST-9420,0.48
CUST-6599,0.33
CUST-4442,0.04
CUST-7601,0.81
CUST-3834,0.04
CUST-9701,0.33
CUST-4321,0.17
CUST-3393,0.04
CUST-4751,0.48
CUST-7228,0.0
CUST-9190,0.16
CUST-2360,0.54
CUST-1147,0.37
CUST-5665,0.15
CUST-8074,0.15
CUST-4942,0.27
CUST-3662,0.02
CUST-1562,0.87
CUST-4112,0.97
CUST-9049,0.58
CUST-9275,0.31
CUST-8537,0.33
CUST-10721,0.8
CUST-5853,0.49
CUST-7618,0.1
CUST-1593,0.42
CUST-7417,0.58
CUST-5266,0.52
CUST-7146,0.67
CUST-1008,0.13
CUST-8694,0.11
CUST-9731,0.17
CUST-9445,0.1
CUST-6753,0.22
CUST-3501,0.32
CUST-2233,0.61
CUST-2802,0.42
CUST-4423,0.55
CUST-5662,0.7
CUST-7169,0.25
CUST-8336,0.24
CUST-2147,0.66
CUST-7968,0.02
CUST-6550,0.1
CUST-7642,0.07
CUST-6163,0.21
CUST-1494,0.7
CUST-7695,0.22
CUST-7093,0.07
CUST-1408,0.41
CUST-6690,0.63
CUST-3400,0.51
CUST-10098,0.32
CUST-5635,0.29
CUST-8481,0.68
CUST-6603,0.04
CUST-10990,0.43
CUST-5559,0.1
CUST-9411,0.24
CUST-8142,0.63
CUST-8663,0.16
CUST-6595,0.54
CUST-10566,0.22
CUST-6870,0.38
CUST-4813,0.79
CUST-6552,0.11
CUST-7529,0.24
CUST-5795,0.04
CUST-7436,0.47
CUST-4217,0.22
CUST-5940,0.38
CUST-8500,0.46
CUST-6428,0.7
CUST-6826,0.23
CUST-4130,0.5
CUST-7801,0.15
CUST-7753,0.66
CUST-4721,0.38
CUST-1650,0.23
CUST-4140,0.09
CUST-1617,0.62
CUST-2029,0.25
CUST-8517,0.92
CUST-4575,0.18
CUST-3992,0.07
CUST-7376,0.18
CUST-6149,0.06
CUST-4908,0.05
CUST-5026,0.06
CUST-8260,0.04
CUST-4731,0.39
CUST-7548,0.62
CUST-8134,0.08
CUST-1606,0.22
CUST-4773,0.21
CUST-8109,0.02
CUST-6951,0.84
CUST-6004,0.3
CUST-7728,0.45
CUST-3541,0.03
CUST-10352,0.37
CUST-1794,0.66
CUST-8731,0.58
CUST-4919,0.53
CUST-5537,0.32
CUST-3872,0.7
CUST-8868,0.5
CUST-2254,0.85
CUST-3412,0.55
CUST-5459,0.39
CUST-4955,0.86
CUST-7396,0.13
CUST-5414,0.08
CUST-7399,0.24
CUST-7414,0.04
CUST-9100,0.26
CUST-4851,0.27
CUST-2025,0.28
CUST-2615,0.05
CUST-7388,0.44
CUST-2926,0.05
CUST-1121,0.78
CUST-2910,0.53
CUST-8146,0.19
CUST-7383,0.13
CUST-3482,0.14
CUST-10722,0.36
CUST-1575,0.75
CUST-6176,0.26
CUST-6266,0.45
CUST-2458,0.5
CUST-3312,0.51
CUST-1253,0.23
CUST-6834,0.0
CUST-8794,0.28
CUST-3837,0.09
CUST-4398,0.22
CUST-3595,0.27
CUST-6621,0.08
CUST-8382,0.1
CUST-2124,0.59
CUST-3238,0.37
CUST-5403,0.17
CUST-5998,0.52
CUST-5938,0.05
CUST-2045,0.57
CUST-1578,0.92
CUST-10012,0.51
CUST-2673,0.62
CUST-7016,0.87
CUST-8720,0.63
CUST-8849,0.44
CUST-4812,0.3
CUST-10985,0.03
CUST-4983,0.88
CUST-7155,0.04
CUST-2884,0.06
CUST-10302,0.63
CUST-7204,0.31
CUST-4367,0.14
CUST-3079,0.38
CUST-7203,0.47
CUST-9909,0.59
CUST-8864,0.1
CUST-10239,0.07
CUST-4337,0.73
CUST-8895,0.67
CUST-8447,0.51
CUST-5903,0.15
CUST-1498,0.02
CUST-4190,0.55
CUST-7485,0.05
CUST-9643,0.04
CUST-8310,0.32
CUST-7590,0.15
CUST-10454,0.53
CUST-9155,0.68
CUST-9414,0.13
CUST-3095,0.3
CUST-4631,0.29
CUST-10333,0.74
CUST-4058,0.11
CUST-8174,0.57
CUST-4630,0.75
CUST-6070,0.18
CUST-2664,0.12
CUST-10932,0.66
CUST-5908,0.03
CUST-5050,0.53
CUST-6328,0.04
CUST-9733,0.24
CUST-1691,0.6
CUST-10611,0.13
CUST-5572,0.2
CUST-5766,0.05
CUST-5156,0.11
CUST-10666,0.38
CUST-3526,0.47
CUST-10516,0.68
CUST-9187,0.39
CUST-2922,0.46
CUST-7911,0.12
CUST-1558,0.05
CUST-10091,0.08
CUST-3007,0.62
CUST-7201,0.08
CUST-10275,0.19
CUST-10069,0.14
CUST-6754,0.1
CUST-8629,0.26
CUST-1208,0.33
CUST-7742,0.48
CUST-8214,0.69
CUST-8944,0.03
CUST-8413,0.43
CUST-1775,0.1
CUST-3473,0.73
CUST-10439,0.68
CUST-2189,0.83
CUST-10314,0.41
CUST-5481,0.4
CUST-8361,0.74
CUST-1472,0.47
CUST-5100,0.5
CUST-6765,0.95
CUST-8706,0.38
CUST-4929,0.52
CUST-6329,0.19
CUST-2609,0.15
CUST-10002,0.8
CUST-2213,0.65
CUST-4827,0.03
CUST-10778,0.12
CUST-6977,0.07
CUST-5885,0.76
CUST-10567,0.15
CUST-10263,0.19
CUST-2018,0.23
CUST-10607,0.89
CUST-8921,0.04
CUST-8264,0.6
CUST-9696,0.3
CUST-1631,0.02
CUST-5170,0.54
CUST-7205,0.77
CUST-2522,0.85
CUST-2215,0.19
CUST-6968,0.94
CUST-6496,0.23
CUST-6213,0.52
CUST-7032,0.26
CUST-7420,0.55
CUST-1107,0.93
CUST-10409,0.92
CUST-6289,0.66
CUST-9966,0.39
CUST-10122,0.21
CUST-1785,0.0
CUST-3404,0.17
CUST-2906,0.45
CUST-8304,0.14
CUST-7492,0.15
CUST-6100,0.26
CUST-4504,0.15
CUST-5053,0.53
CUST-5205,0.48
CUST-4080,0.37
CUST-6918,0.37
CUST-6802,0.89
CUST-5206,0.33
CUST-10483,0.0
CUST-4830,0.75
CUST-4038,0.01
CUST-4084,0.17
CUST-3204,0.17
CUST-7110,0.74
CUST-1030,0.72
CUST-4957,0.93
CUST-3033,0.69
CUST-7684,0.84
CUST-1597,0.87
CUST-9919,0.14
CUST-3597,0.16
CUST-9038,0.02
CUST-8001,0.07
CUST-10536,0.21
CUST-10588,0.08
CUST-9102,0.73
CUST-8015,0.51
CUST-3771,0.38
CUST-9039,0.93
CUST-5082,0.51
CUST-7882,0.1
CUST-9362,0.31
CUST-4210,0.56
CUST-8834,0.94
CUST-8699,0.5
CUST-1795,0.21
CUST-2586,0.15
CUST-8355,0.49
CUST-2316,0.69
CUST-4185,0.1
CUST-8827,0.58
CUST-7072,0.65
CUST-5234,0.68
CUST-8743,0.12
CUST-8670,0.76
CUST-4768,0.05
CUST-9972,0.47
CUST-7144,0.62
CUST-2913,0.91
CUST-9871,0.02
CUST-9893,0.38
CUST-2075,0.2
CUST-4302,0.11
CUST-5822,0.53
CUST-2149,0.46
CUST-10130,0.91
CUST-4963,0.6
CUST-8159,0.7
CUST-9030,0.77
CUST-4775,0.19
CUST-8933,0.13
CUST-7749,0.05
CUST-9828,0.06
CUST-9214,0.02
CUST-6060,0.18
CUST-9475,0.2
CUST-6409,1.0
CUST-3317,0.09
CUST-7464,0.06
CUST-3061,0.49
CUST-1355,0.89
CUST-4514,0.17
CUST-5505,0.15
CUST-5250,0.71
CUST-4511,0.14
CUST-1730,0.04
CUST-1758,0.17
CUST-6650,0.61
CUST-6646,0.07
CUST-9860,0.35
CUST-4139,0.42
CUST-9393,0.72
CUST-5123,0.34
CUST-1000,0.43
CUST-1864,0.57
CUST-10493,0.57
CUST-10317,0.18
CUST-6906,0.4
CUST-9765,0.18
CUST-2523,0.07
CUST-3464,0.04
CUST-10415,0.22
CUST-3023,0.18
CUST-7261,0.01
CUST-9515,0.56
CUST-7872,0.4
CUST-6625,0.05
CUST-2534,0.65
CUST-10119,0.29
CUST-3704,0.47
CUST-1372,0.71
CUST-6200,0.59
CUST-4856,0.32
CUST-4712,0.54
CUST-5544,0.23
CUST-1413,0.51
CUST-4113,0.07
CUST-10595,0.61
CUST-8137,0.62
CUST-4098,0.52
CUST-10538,0.59
CUST-8708,0.05
CUST-3123,0.07
CUST-3047,0.03
CUST-3887,0.54
CUST-5735,0.02
CUST-2184,0.28
CUST-2145,0.47
CUST-7047,0.92
CUST-3105,0.04
CUST-9233,0.19
CUST-9096,0.22
CUST-2769,0.08
CUST-5221,0.46
CUST-5833,0.56
CUST-1732,0.43
CUST-10240,0.91
CUST-5144,0.04
CUST-8267,0.06
CUST-3937,0.56
CUST-10691,0.28
CUST-7220,0.15
CUST-8439,0.58
CUST-3257,0.73
CUST-4338,0.36
CUST-4362,0.3
CUST-10287,0.54
CUST-8069,0.07
CUST-1851,0.83
CUST-2484,0.47
CUST-9873,0.04
CUST-9574,0.36
CUST-1098,0.1
CUST-8358,0.82
CUST-7333,0.17
CUST-10973,0.71
CUST-10093,0.58
CUST-5748,0.43
CUST-1418,0.16
CUST-1658,0.08
CUST-5284,0.36
CUST-1149,0.54
CUST-7150,0.21
CUST-1568,0.87
CUST-10988,0.16
CUST-6085,0.79
CUST-8674,0.04
CUST-8341,0.28
CUST-7811,0.25
CUST-6084,0.66
CUST-8773,0.02
CUST-8757,0.21
CUST-1692,0.46
CUST-4734,0.3
CUST-3387,0.46
CUST-3646,0.26
CUST-1683,0.55
CUST-10007,0.56
CUST-6062,0.01
CUST-6516,0.04
CUST-4123,0.14
CUST-8729,0.01
CUST-6045,0.6
CUST-10515,0.12
CUST-9161,0.11
CUST-1803,0.6
CUST-8501,0.15
CUST-4900,0.71
CUST-1599,0.49
CUST-7931,0.27
CUST-9547,0.53
CUST-2823,0.54
CUST-5467,0.02
CUST-3529,0.87
CUST-8683,0.67
CUST-1155,0.38
CUST-6547,0.44
CUST-9088,0.56
CUST-7620,0.49
CUST-8296,0.24
CUST-4540,0.04
CUST-9134,0.25
CUST-6482,0.72
CUST-5826,0.07
CUST-1190,0.67
CUST-7444,0.62
CUST-8520,0.1
CUST-10872,0.61
CUST-7454,0.74
CUST-10032,0.41
CUST-7516,0.11
CUST-7644,0.24
CUST-4438,0.09
CUST-6161,0.37
CUST-7744,0.31
CUST-9587,0.38
CUST-8119,0.04
CUST-6967,0.56
CUST-5718,0.72
CUST-10524,0.7
CUST-9833,0.35
CUST-4102,0.63
CUST-7646,0.38
CUST-4151,0.26
CUST-3130,0.6
CUST-4890,0.07
CUST-9975,0.39
CUST-7471,0.73
CUST-1833,0.27
CUST-9148,0.33
CUST-4891,0.07
CUST-2287,0.23
CUST-1330,0.7
CUST-2771,0.71
CUST-3686,0.51
CUST-8283,0.07
CUST-5928,0.17
CUST-10579,0.89
CUST-10042,0.57
CUST-2602,0.69
CUST-1965,0.59
CUST-2168,0.19
CUST-5049,0.42
CUST-3334,0.1
CUST-3019,0.58
CUST-8764,0.26
CUST-9176,0.09
CUST-1360,0.52
CUST-5798,0.03
CUST-9400,0.06
CUST-3251,0.49
CUST-6300,0.15
CUST-2251,0.4
CUST-6027,0.57
CUST-1175,0.52
CUST-8799,0.39
CUST-3279,0.26
CUST-2973,0.33
CUST-3396,0.34
CUST-6939,0.67
CUST-10877,0.41
CUST-8574,0.35
CUST-10674,0.91
CUST-7514,0.36
CUST-3314,0.55
CUST-4898,0.45
CUST-9340,0.76
CUST-4672,0.93
CUST-8618,0.39
CUST-1217,0.38
CUST-4397,0.62
CUST-6080,0.32
CUST-2614,0.44
CUST-2620,0.1
CUST-8714,0.6
CUST-7282,0.29
CUST-3379,0.3
CUST-7301,0.08
CUST-9857,0.34
CUST-5605,0.28
CUST-9813,0.39
CUST-5786,0.4
CUST-8518,0.47
CUST-6850,0.85
CUST-1516,0.09
CUST-5098,0.69
CUST-7636,0.08
CUST-9085,0.45
CUST-8023,0.07
CUST-2392,0.45
CUST-10532,0.7
CUST-3519,0.76
CUST-7653,0.76
CUST-8946,0.51
CUST-10772,0.51
CUST-10304,0.18
CUST-6634,0.46
CUST-8972,0.44
CUST-7493,0.35
CUST-2868,0.44
CUST-4872,0.14
CUST-3550,0.07
CUST-3842,0.89
CUST-7262,0.43
CUST-5824,0.54
CUST-10020,0.37
CUST-1453,0.17
CUST-1684,0.4
CUST-2310,0.16
CUST-9063,0.71
CUST-9406,0.08
CUST-10346,0.11
CUST-5814,0.5
CUST-5550,0.22
CUST-9308,0.47
CUST-1618,0.57
CUST-10717,0.87
CUST-5983,0.04
CUST-8672,0.06
CUST-4475,0.59
CUST-5606,0.51
CUST-9312,0.05
CUST-5648,0.4
CUST-6216,0.62
CUST-2286,0.22
CUST-9993,0.11
CUST-7578,0.48
CUST-1183,0.41
CUST-6001,0.48
CUST-5090,0.42
CUST-2516,0.24
CUST-4122,0.42
CUST-5521,0.05
CUST-5627,0.24
CUST-8360,0.35
CUST-5872,0.38
CUST-8612,0.72
CUST-7727,0.73
CUST-5968,0.34
CUST-1180,0.15
CUST-8762,0.13
CUST-8235,0.13
CUST-2818,0.08
CUST-9964,0.63
CUST-8703,0.08
CUST-6608,0.37
CUST-2820,0.51
CUST-7535,0.27
CUST-2260,0.49
CUST-2239,0.45
CUST-6021,0.19
CUST-10710,0.9
CUST-10847,0.38
CUST-6202,0.22
CUST-2412,0.56
CUST-6997,0.08
CUST-9115,0.43
CUST-1156,0.58
CUST-8107,0.04
CUST-5805,0.52
CUST-4879,0.02
CUST-3309,0.04
CUST-8961,0.04
CUST-1702,0.1
CUST-2492,0.1
CUST-3706,0.11
CUST-8276,0.46
CUST-1026,0.04
CUST-1608,0.58
CUST-6631,0.04
CUST-8278,0.32
CUST-7315,0.45
CUST-2252,0.24
CUST-7415,0.71
CUST-8365,0.38
CUST-1891,0.21
CUST-5062,0.23
CUST-6120,0.08
CUST-10511,0.84
CUST-10264,0.93
CUST-4716,0.72
CUST-7708,0.29
CUST-6349,0.16
CUST-10153,0.02
CUST-10242,0.74
CUST-4638,0.31
CUST-7077,0.16
CUST-3355,0.15
CUST-8279,0.28
CUST-10286,0.11
CUST-6728,0.33
CUST-9495,0.16
CUST-4067,0.4
CUST-10222,0.32
CUST-10229,0.34
CUST-1111,0.12
CUST-4801,0.06
CUST-1713,0.41
CUST-10045,0.69
CUST-1835,0.58
CUST-7896,0.28
CUST-3383,0.57
CUST-6410,0.93
CUST-4313,0.61
CUST-10792,0.82
CUST-1254,0.15
CUST-8881,0.73
CUST-5851,0.14
CUST-5702,0.28
CUST-8103,0.33
CUST-2098,0.62
CUST-5128,0.47
CUST-10225,0.66
CUST-6561,0.45
CUST-1339,0.62
CUST-7017,0.51
CUST-2110,0.21
CUST-1569,0.36
CUST-1726,0.31
CUST-8384,0.21
CUST-6940,0.48
CUST-4395,0.18
CUST-2420,0.3
CUST-3045,0.1
CUST-5503,0.49
CUST-3703,0.58
CUST-8191,0.25
CUST-5331,0.48
CUST-9808,0.45
CUST-10406,0.47
CUST-7894,0.14
CUST-8728,0.04
CUST-7828,0.3
CUST-1768,0.07
CUST-6808,1.0
CUST-4704,0.09
CUST-3869,0.2
CUST-1655,0.72
CUST-3187,0.55
CUST-10620,0.39
CUST-4170,0.41
CUST-4477,0.98
CUST-10419,0.42
CUST-5764,0.03
CUST-7522,0.56
CUST-4502,0.64
CUST-9709,0.43
CUST-10289,0.65
CUST-1145,0.67
CUST-5094,0.19
CUST-1393,0.47
CUST-6623,0.26
CUST-1501,0.27
CUST-6408,0.86
CUST-10341,0.02
CUST-10372,0.03
CUST-1660,0.73
CUST-3151,0.94
CUST-1623,0.67
CUST-5609,0.15
CUST-8532,0.78
CUST-5802,0.78
CUST-5306,0.48
CUST-7086,0.59
CUST-8897,0.51
CUST-7488,0.66
CUST-9615,0.13
CUST-9217,0.77
CUST-1672,0.1
CUST-2358,0.57
CUST-8467,0.18
CUST-10249,0.34
CUST-2473,0.03
CUST-5489,0.76
CUST-4771,0.15
CUST-2107,0.5
CUST-7500,0.04
CUST-4414,0.19
CUST-8138,0.57
CUST-8660,0.45
CUST-8239,0.24
CUST-2417,0.7
CUST-8771,0.56
CUST-2236,0.63
CUST-3767,0.05
CUST-9791,0.42
CUST-9989,0.06
CUST-9965,0.79
CUST-7323,0.15
CUST-1383,0.1
CUST-3101,0.81
CUST-3921,0.09
CUST-6685,0.56
CUST-3194,0.48
CUST-1941,0.78
CUST-7713,0.47
CUST-4896,0.08
CUST-4782,0.59
CUST-1496,0.38
CUST-1957,0.29
CUST-9171,0.69
CUST-9745,0.0
CUST-7332,0.11
CUST-7949,0.58
CUST-3017,0.34
CUST-6746,0.13
CUST-10466,0.03
CUST-3934,0.14
CUST-3025,0.22
CUST-1199,0.44
CUST-5028,0.07
CUST-9784,0.67
CUST-10837,0.03
CUST-4649,0.62
CUST-5332,0.59
CUST-10978,0.06
CUST-6768,0.39
CUST-9410,0.04
CUST-1671,0.12
CUST-10430,0.06
CUST-9186,0.7
CUST-8839,0.05
CUST-5758,0.48
CUST-6297,0.17
CUST-2478,0.7
CUST-5493,0.15
CUST-3914,0.0
CUST-2138,0.74
CUST-5454,0.49
CUST-5379,0.28
CUST-8985,0.51
CUST-4023,0.52
CUST-3485,0.54
CUST-2455,0.11
CUST-2464,0.04
CUST-8696,0.67
CUST-1369,0.33
CUST-6688,0.16
CUST-7456,0.05
CUST-9974,0.59
CUST-1901,0.73
CUST-4871,0.45
CUST-4710,0.32
CUST-7886,0.04
CUST-1793,0.64
CUST-2874,0.68
CUST-6217,0.8
CUST-5213,0.26
CUST-2245,0.04
CUST-1741,0.29
CUST-10927,0.11
CUST-10640,0.2
CUST-4294,0.05
CUST-5576,0.51
CUST-7166,0.04
CUST-8177,0.18
CUST-10825,0.54
CUST-5193,0.21
CUST-3077,0.26
CUST-9366,0.75
CUST-1054,0.73
CUST-5304,0.58
CUST-1040,0.38
CUST-7606,0.72
CUST-4092,0.27
CUST-6134,0.41
CUST-10009,0.54
CUST-3776,0.57
CUST-8999,0.94
CUST-3708,0.07
CUST-3780,0.73
CUST-10084,0.67
CUST-9239,0.28
CUST-3949,0.88
CUST-5785,0.96
CUST-4870,0.01
CUST-4802,0.54
CUST-4867,0.85
CUST-10265,0.19
CUST-7888,0.74
CUST-7405,0.47
CUST-5595,0.46
CUST-2886,0.24
CUST-6454,0.15
CUST-2542,0.24
CUST-1765,0.33
CUST-6800,0.26
CUST-1877,0.52
CUST-1981,0.58
CUST-9729,0.21
CUST-9608,0.13
CUST-2685,0.21
CUST-8930,0.26
CUST-3458,0.12
CUST-4541,0.45
CUST-2178,0.06
CUST-4450,0.43
CUST-3859,0.23
CUST-7623,0.38
CUST-7654,0.45
CUST-4519,0.41
CUST-2517,0.05
CUST-4836,0.49
CUST-2885,0.2
CUST-7281,0.56
CUST-6255,0.61
CUST-4539,0.22
CUST-5639,0.2
CUST-9459,0.12
CUST-3481,0.08
CUST-1277,0.37
CUST-3146,0.41
CUST-8262,0.08
CUST-3205,0.14
CUST-9892,0.74
CUST-2742,0.17
CUST-6076,0.29
CUST-4047,0.29
CUST-5731,0.52
CUST-2945,0.14
CUST-5790,0.69
CUST-6794,0.7
CUST-6543,0.87
CUST-10636,0.71
CUST-3574,0.26
CUST-7699,0.2
CUST-2515,0.58
CUST-3000,0.17
CUST-5820,0.03
CUST-8581,0.03
CUST-3684,0.27
CUST-2995,0.09
CUST-4252,0.27
CUST-3411,0.46
CUST-7962,0.65
CUST-6309,0.68
CUST-8611,0.46
CUST-5012,0.58
CUST-7750,0.55
CUST-5979,0.07
CUST-4048,0.77
CUST-4899,0.57
CUST-1318,0.81
CUST-9772,0.76
CUST-9137,0.54
CUST-7142,0.16
CUST-1897,0.59
CUST-7465,0.82
CUST-10548,0.24
CUST-2846,0.2
CUST-8207,0.31
CUST-10357,0.15
CUST-4436,0.32
CUST-9447,0.44
CUST-7234,0.78
CUST-5398,0.26
CUST-10086,0.74
CUST-1662,0.11
CUST-8970,0.4
CUST-5130,0.63
CUST-1488,0.03
CUST-8316,0.48
CUST-2707,0.14
CUST-1595,0.67
CUST-9277,0.26
CUST-2377,0.55
CUST-5140,0.06
CUST-6147,0.67
CUST-8241,0.61
CUST-3948,0.18
CUST-3933,0.17
CUST-4797,0.08
CUST-4372,0.55
CUST-9862,0.19
CUST-8242,0.31
CUST-3448,0.53
CUST-2943,0.5
CUST-2465,0.36
CUST-8582,0.52
CUST-5506,0.46
CUST-2698,0.4
CUST-2447,0.75
CUST-10017,0.05
CUST-2748,0.2
CUST-5399,0.34
CUST-8078,0.27
CUST-6871,0.36
CUST-4708,0.41
CUST-9476,0.35
CUST-10735,0.01
CUST-7477,0.49
CUST-2273,0.06
CUST-1923,0.48
CUST-1470,0.13
CUST-7934,0.07
CUST-7407,0.95
CUST-2406,0.44
CUST-1142,0.28
CUST-1747,0.68
CUST-5709,0.62
CUST-4975,0.1
CUST-7300,0.26
CUST-8148,0.06
CUST-2833,0.22
CUST-3131,0.19
CUST-1310,0.46
CUST-8650,0.54
CUST-6774,0.29
CUST-6756,0.64
CUST-10563,0.69
CUST-2701,0.03
CUST-2199,0.53
CUST-6196,0.36
CUST-8824,0.75
CUST-10950,0.38
CUST-5768,0.2
CUST-9947,0.69
CUST-9019,0.5
CUST-10675,0.17
CUST-10201,0.41
CUST-3149,0.44
CUST-10568,0.56
CUST-9334,0.83
CUST-7566,0.77
CUST-4582,0.72
CUST-5711,0.31
CUST-3284,0.21
CUST-7585,0.03
CUST-9646,0.8
CUST-1530,0.16
CUST-9685,0.16
CUST-10320,0.13
CUST-2474,0.46
CUST-8013,0.05
CUST-6475,0.12
CUST-6449,0.3
CUST-10217,0.2
CUST-2625,0.21
CUST-9786,0.71
CUST-7198,0.17
CUST-7692,0.13
CUST-2997,0.06
CUST-6440,0.96
CUST-4562,0.11
CUST-8614,0.1
CUST-1479,0.45
CUST-10925,0.04
CUST-3094,0.14
CUST-6182,0.57
CUST-4960,0.39
CUST-8492,0.29
CUST-1103,0.15
CUST-6081,0.36
CUST-9525,0.34
CUST-5190,0.97
CUST-4181,0.33
CUST-4467,0.71
CUST-1626,0.04
CUST-6717,0.01
CUST-3798,0.3
CUST-3053,0.16
CUST-2867,0.54
CUST-1432,0.3
CUST-7983,0.06
CUST-9346,0.52
CUST-9419,0.1
